,PlayerID,PlayerName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
1050,4612,Jack Stephens,Defender,9948.0,2.0,1.0,3.0,0.0,6.0
747,12444,Jonas Lössl,Goalkeeper,6377.0,0.0,5.0,0.0,1.0,6.0
1049,557,Sol Campbell,Defender,6986.0,0.0,3.0,1.0,2.0,6.0
1052,1780,Paul Robinson,Defender,9786.0,1.0,1.0,3.0,0.0,5.0
1114,5220,Fabian Schär,Defender,7043.0,1.0,3.0,1.0,0.0,5.0
1053,2018,Lucas Neill,Defender,6993.0,0.0,0.0,4.0,1.0,5.0
1241,6194,Wesley Hoedt,Defender,3690.0,0.0,2.0,1.0,2.0,5.0
1237,51775,Mohammed Salisu,Defender,3814.0,1.0,2.0,1.0,1.0,5.0
1501,25309,Juan Foyth,Defender,956.0,1.0,2.0,2.0,0.0,5.0
1103,1426,Danny Higginbotham,Defender,7401.0,0.0,1.0,3.0,1.0,5.0
1056,10564,Mason Holgate,Defender,9437.0,1.0,3.0,0.0,1.0,5.0
1118,4486,Ron Vlaar,Defender,6842.0,1.0,1.0,2.0,1.0,5.0
1066,3587,José Bosingwa,Defender,8776.0,1.0,0.0,2.0,2.0,5.0
1188,4797,Aly Cissokho,Defender,4823.0,1.0,0.0,3.0,1.0,5.0
1036,1881,Tony Hibbert,Defender,9737.0,1.0,0.0,2.0,2.0,5.0
970,4474,Héctor Bellerín,Defender,15136.0,0.0,1.0,3.0,1.0,5.0
994,2916,Daniel Agger,Defender,11531.0,1.0,1.0,2.0,1.0,5.0
1151,9117,Ben Gibson,Defender,5978.0,1.0,1.0,3.0,0.0,5.0
1329,7500,Sol Bamba,Defender,2475.0,0.0,3.0,2.0,0.0,5.0
1061,776,Stephen Carr,Defender,7183.0,0.0,2.0,2.0,1.0,5.0
1312,2259,Clarke Carlisle,Defender,2374.0,0.0,2.0,2.0,1.0,5.0
1078,3664,Rafael,Defender,8182.0,2.0,0.0,3.0,0.0,5.0
1074,3869,Shkodran Mustafi,Defender,8414.0,0.0,3.0,2.0,0.0,5.0
1182,50234,Gabriel Magalhães,Defender,5065.0,2.0,2.0,1.0,0.0,5.0
1013,5066,Victor Lindelöf,Defender,11920.0,0.0,2.0,1.0,2.0,5.0
1185,3465,Habib Beye,Defender,4994.0,2.0,0.0,2.0,1.0,5.0
976,3186,Nicky Shorey,Defender,11663.0,0.0,3.0,1.0,1.0,5.0
1021,2997,Curtis Davies,Defender,11548.0,0.0,3.0,1.0,1.0,5.0
1032,3242,Charlie Daniels,Defender,11061.0,0.0,3.0,2.0,0.0,5.0
1034,4349,Russell Martin,Defender,10853.0,1.0,2.0,1.0,1.0,5.0
1072,10522,DeAndre Yedlin,Defender,8512.0,1.0,0.0,2.0,2.0,5.0
0,2064,Wayne Rooney,Forward,25810.0,2.0,1.0,1.0,1.0,5.0
1813,1518,Scott Parker,Midfielder,15286.0,2.0,2.0,1.0,0.0,5.0
1116,9960,Alfie Mawson,Defender,6980.0,0.0,2.0,1.0,2.0,5.0
